case,projection,method,region,cell_count,raw_max_abs_K_m,p99_abs_K_m,rms_abs_K_m,mean_abs_K_m,median_abs_K_m,raw_max_over_p99
Maxwell_a,thickness_average,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,425,15984.82787448999,15950.685384439234,10071.513611725062,8462.3036959591,9531.56208603491,1.0021405030083577
Maxwell_a,thickness_average,least_squares_radius_0.3um,original_staircase_edge,142,16105.728639786796,16099.829999618574,10591.833987867847,8953.468103083296,10021.301791129448,1.0003663790343351
Maxwell_a,thickness_average,least_squares_radius_0.3um,inside_n_0p1um,283,15902.918083564457,15886.268028194072,10301.886332893915,8684.768309806574,9782.621543462652,1.0010480784625335
Maxwell_a,thickness_average,least_squares_radius_0.3um,inside_n_0p2um,283,15450.22654819829,15425.735261788497,9920.92784862676,8339.832651154817,9491.74011050804,1.001587690051343
Maxwell_a,thickness_average,least_squares_radius_0.3um,inside_n_0p3um,283,14095.351198560433,14041.153583271504,8547.851152866973,7142.716080950933,7863.416586297579,1.003859911863189
Maxwell_a,thickness_average,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,425,15450.22654819829,15409.911247460528,9633.36698830707,8079.058944003346,9193.01011520314,1.0026161929222277
Maxwell_a,thickness_average,least_squares_radius_0.4um,original_staircase_edge,142,15867.930999648448,15866.918746581308,10427.368172527402,8798.52329244929,9933.1211751122,1.0000637964486556
Maxwell_a,thickness_average,least_squares_radius_0.4um,inside_n_0p1um,283,15445.00444896839,15424.568208291928,9917.430671164717,8342.943294156745,9453.105658560264,1.0013249149279573
Maxwell_a,thickness_average,least_squares_radius_0.4um,inside_n_0p2um,283,14859.934225294717,14828.791639728122,9429.168058663918,7909.900917830385,8991.901699978845,1.0021001431757366
Maxwell_a,thickness_average,least_squares_radius_0.4um,inside_n_0p3um,283,13388.113585926194,13312.703649585634,8166.993885541843,6832.099004955337,7587.392652239452,1.0056645095035153
Maxwell_a,thickness_average,least_squares_radius_0.4um,inside_band_0p1_to_0p3um,425,14859.934225294717,14818.589426188952,9140.260541082105,7653.388579184473,8636.714311170508,1.0027900630698827
Maxwell_b,surface,mask_aware_finite_difference,original_staircase_edge,142,11725.214678403974,11720.989394058635,7546.000506347959,6400.637431431735,7034.637361148534,1.0003604887098934
Maxwell_b,surface,mask_aware_finite_difference,inside_n_0p1um,283,10637.215070359196,10624.408800568555,6117.500930081955,5152.535770185187,5527.015881648401,1.0012053630494673
Maxwell_b,surface,mask_aware_finite_difference,inside_n_0p2um,283,8202.688023153343,8192.145557788164,4581.177479520643,3856.982295033443,3939.372679147504,1.001286899175657
Maxwell_b,surface,mask_aware_finite_difference,inside_n_0p3um,283,4032.3327731667123,4026.903850913444,2198.7228917908587,1904.3745842146348,1529.3758932040128,1.001348162870101
Maxwell_b,surface,mask_aware_finite_difference,inside_band_0p1_to_0p3um,425,8202.688023153343,8185.5736211230615,4025.3650333044807,3322.461055373784,2987.744126938078,1.0020908005745763
Maxwell_b,surface,least_squares_radius_0.2um,original_staircase_edge,142,10763.650673747037,10755.486800107932,6899.814552106624,5860.124285818905,6400.456634465915,1.0007590426905664
Maxwell_b,surface,least_squares_radius_0.2um,inside_n_0p1um,283,9404.549100108372,9369.70911404556,5653.576698783834,4796.236054608491,5248.701772842088,1.0037183636801046
Maxwell_b,surface,least_squares_radius_0.2um,inside_n_0p2um,283,8487.937376316697,8457.870351568603,4638.666783293445,3912.0472470247805,4015.4353303549196,1.0035549167223303
Maxwell_b,surface,least_squares_radius_0.2um,inside_n_0p3um,283,4568.813748385833,4368.45817405988,2300.816166259269,1981.0095873939363,1541.0575471583195,1.0458641393239552
