case_type,beta,direction,step,adjoint,finite_difference,relative_error
mapping_only_centered_fd,2.0,uniform,0.001,180978.4920063567,180978.25733166974,1.2966993169840652e-06
mapping_only_centered_fd,2.0,uniform,0.0005,180978.4920063567,180978.4333375719,3.2417545392703866e-07
mapping_only_centered_fd,2.0,uniform,0.00025,180978.4920063567,180978.47733911476,8.10441162809789e-08
mapping_only_centered_fd,2.0,smooth_asymmetric,0.001,21817.875871779375,21817.85875319474,7.846127979857713e-07
mapping_only_centered_fd,2.0,smooth_asymmetric,0.0005,21817.875871779375,21817.87159214582,1.9615262181520333e-07
mapping_only_centered_fd,2.0,smooth_asymmetric,0.00025,21817.875871779375,21817.874801825383,4.90402456610971e-08
mapping_only_centered_fd,2.0,central_localized,0.001,1297.9792104943062,1297.9786458745366,4.349990855653313e-07
mapping_only_centered_fd,2.0,central_localized,0.0005,1297.9792104943062,1297.9790693316318,1.087557283967645e-07
mapping_only_centered_fd,2.0,central_localized,0.00025,1297.9792104943062,1297.979175204091,2.71885827999842e-08
mapping_only_centered_fd,2.0,design_edge_localized,0.001,370.19583178384414,370.19568320283724,4.0135786019284744e-07
mapping_only_centered_fd,2.0,design_edge_localized,0.0005,370.19583178384414,370.1957946395851,1.0033678361169006e-07
mapping_only_centered_fd,2.0,design_edge_localized,0.00025,370.19583178384414,370.1958224992268,2.5080286069666212e-08
mapping_only_centered_fd,2.0,fixed_seed_random,0.001,-139.87689342619805,-139.87689329951536,9.05672764652999e-10
mapping_only_centered_fd,2.0,fixed_seed_random,0.0005,-139.87689342619805,-139.8768933795509,3.3348723925565316e-10
mapping_only_centered_fd,2.0,fixed_seed_random,0.00025,-139.87689342619805,-139.8768934304826,3.0630822359901416e-11
mapping_only_centered_fd,4.0,uniform,0.001,278418.84468630253,278417.5077478794,4.801896310614057e-06
mapping_only_centered_fd,4.0,uniform,0.0005,278418.84468630253,278418.51045025396,1.2004792597499082e-06
mapping_only_centered_fd,4.0,uniform,0.00025,278418.84468630253,278418.7611271627,3.001202734694864e-07
mapping_only_centered_fd,4.0,smooth_asymmetric,0.001,31526.370362840684,31526.298828095605,2.269044747472597e-06
mapping_only_centered_fd,4.0,smooth_asymmetric,0.0005,31526.370362840684,31526.352479144407,5.672615042903608e-07
mapping_only_centered_fd,4.0,smooth_asymmetric,0.00025,31526.370362840684,31526.36589189933,1.418159242843767e-07
