scenario,G_TaIrTe4_SiO2_W_m2K,position,category,vertical_level,polarization,beam_x_b_um,beam_y_a_um,P_Q_W_at_1_W_m2,P_six_W_at_1_W_m2,incident_power_W_at_1_W_m2,optical_absorption_fraction,P_Q_W_at_285uW_incident,six_face_closure,auto_shutoff,mapped_source_power_W_at_285uW_incident,Tmax_rise_K,TaIrTe4_volume_average_rise_K,strict_gradient_max_K_m,strict_gradient_p99_K_m,production_current_A,strict_current_A,mapping_relative_power_error,thermal_energy_balance_relative_error,linear_residual_relative,lateral_numerical_boundary_flux_fraction
thermally_grown,7370000.0,inside_bottom,inside,bottom,b,-6.0,-3.0,9.088485232303889e-11,9.088591751920136e-11,3.9558407239020593e-10,0.2297485128101661,6.547832615089733e-05,1.1720145337653311e-05,9.61744e-06,6.347024036763701e-05,0.23589678777794443,0.043383381237559936,55500.66235769675,31299.556924233886,-5.324040877803414e-09,-5.112816954898307e-09,2.1352569452343116e-16,3.5710037152098616e-12,1.0412810796651043e-10,0.4117250509620573
evaporated,73700.0,outside_top,outside,top,a,-16.5625,3.0,5.675779450747205e-09,5.68522189714674e-09,1.7718458071060473e-07,0.032033145480178354,9.129446461850832e-06,0.001660875612308794,9.6997e-06,7.924722794136923e-06,1.9586099871052542,0.16687340719732632,462421.4721794175,260241.55383100308,1.8071961062870786e-07,1.791735859984684e-07,2.1376973536057927e-16,1.1959005813171033e-10,1.187546050476287e-10,0.4459033673018917
evaporated,73700.0,outside_top,outside,top,b,-16.5625,3.0,6.06392078214175e-09,6.065658479200393e-09,1.7890091450965983e-07,0.033895415228938505,9.660193340247474e-06,0.00028648118989912854,9.93934e-06,8.529062652658383e-06,1.7513979006004896,0.17958740214593094,418300.51254253427,242503.72248485556,1.735061448535545e-07,1.7260485160752225e-07,1.9862275181910934e-16,8.661203302649629e-11,1.2858228119950912e-10,0.4444345015578694
evaporated,73700.0,outside_middle,outside,middle,a,-16.5625,0.0,6.455947480563735e-09,6.460992399698541e-09,1.4098766751313883e-07,0.04579086663705602,1.3050396991560965e-05,0.0007808272820504585,9.91546e-06,1.1872667280074245e-05,2.754743185610106,0.2499964305498253,524399.6957151855,387774.7567266635,2.1923434967765247e-07,2.1712818065491206e-07,0.0,6.518519614744506e-11,1.230422476838016e-10,0.4553397755030641
evaporated,73700.0,outside_middle,outside,middle,b,-16.5625,0.0,7.1951230150998764e-09,7.198875832317325e-09,1.4228671527066626e-07,0.05056777789418278,1.4411816699842091e-05,0.0005213060073354,9.66905e-06,1.328245810660838e-05,2.4766612425764056,0.2796641947552872,675492.6775837501,364448.71984809864,2.149870275780711e-07,2.1362740716468259e-07,0.0,4.530749363840588e-11,1.3449879997245143e-10,0.45375234912357953
evaporated,73700.0,outside_bottom,outside,bottom,a,-16.5625,-3.0,1.0283833376207752e-08,1.0288134528084367e-08,1.7718539871425666e-07,0.05803995956118418,1.654138847493749e-05,0.0004180691713229416,9.79937e-06,1.5304239261461688e-05,3.1478051281112953,0.32223709466755485,565885.7327920671,434985.51138057874,1.973634570184292e-07,1.9491559983966217e-07,0.0,5.039169504871152e-11,1.2643649039246968e-10,0.4651982386753619
evaporated,73700.0,outside_bottom,outside,bottom,b,-16.5625,-3.0,1.1834498019019576e-08,1.1840506000861937e-08,1.7890203694954995e-07,0.0661507170114384,1.8852954348259942e-05,0.000507409213924099,9.87871e-06,1.7680593575076376e-05,2.900898858059251,0.37224807058604026,709016.8801523661,406284.1340562805,1.9272551893168e-07,1.911560555000128e-07,0.0,4.2541280617791846e-11,1.3985711857529993e-10,0.46355857731151234
evaporated,73700.0,edge_top,edge,top,a,-9.827940015785318,3.0,1.9999645847886346e-10,2.0011816314486686e-10,1.8127223981809162e-09,0.11032933596427218,3.144386074981757e-05,0.0006081640171527278,9.58709e-06,2.9538736482392322e-05,3.6359867035968283,0.6222357686695595,821801.3253477397,362699.34538681374,5.050762962192098e-07,5.034167131438915e-07,0.0,1.9997141197327486e-11,1.3047653174996567e-10,0.4239447811805969
evaporated,73700.0,edge_top,edge,top,b,-9.827940015785318,3.0,2.7173489741705307e-10,2.717724311052238e-10,1.9566299821525212e-09,0.1388790419730321,3.958052696231415e-05,0.0001381070479373955,9.9549e-06,3.767898248841769e-05,4.109392239261887,0.7936122377298538,781311.2358292582,480429.0659306067,5.683948956844563e-07,5.685123365783771e-07,0.0,6.605021174716045e-11,1.3492671997454198e-10,0.4229142561167912
evaporated,73700.0,edge_middle,edge,middle,a,-13.480662983425413,0.0,1.1178954213612828e-09,1.1185491741904282e-09,1.3018836807789833e-08,0.08586753470113313,2.4472247389822944e-05,0.0005844649875304575,9.6581e-06,2.289458182545813e-05,4.1086145346442375,0.4821644059722101,790095.715117702,452292.40977821645,3.5924764237378867e-07,3.571429707302156e-07,1.4798836750316596e-16,2.2031339045768068e-10,1.3148928076525387e-10,0.4455906847810216
evaporated,73700.0,edge_middle,edge,middle,b,-13.480662983425413,0.0,1.439949077753066e-09,1.4403267736316244e-09,1.3873594868353132e-08,0.10379062466626543,2.9580328029885645e-05,0.0002622292978738817,9.82298e-06,2.7975705004805757e-05,4.1699444768220015,0.5891203631370353,1166023.4539128738,493760.81850024534,3.845854816700113e-07,3.8350110534250995e-07,1.211097911003557e-16,6.218527555797084e-11,1.3577323496316477e-10,0.4442935669422665
evaporated,73700.0,edge_bottom,edge,bottom,a,-14.008036162732294,-3.0,2.2682503819157296e-09,2.2689860274684273e-09,2.397393116085263e-08,0.09461320159372058,2.6964762454210365e-05,0.0003242177535656946,9.79172e-06,2.5414475502220522e-05,4.042822543808794,0.535195872550284,877817.7432750666,486450.26460568793,2.735538938761471e-07,2.710247134260348e-07,1.3331503885339565e-16,2.6812560581264875e-10,1.3083601204474402e-10,0.4574549523131222
evaporated,73700.0,edge_bottom,edge,bottom,b,-14.008036162732294,-3.0,2.9026203770332014e-09,2.90340388706101e-09,2.4974456788838414e-08,0.1162235640028191,3.3123715740803446e-05,0.00026985912338978256,9.8364e-06,3.154160478384055e-05,4.126961618423288,0.6641653083141894,1188370.0930559412,535719.1706788675,2.8671343932868816e-07,2.852187503558161e-07,0.0,3.899762557755841e-11,1.4002434833646626e-10,0.45606904669639037
evaporated,73700.0,inside_top,inside,top,a,-6.0,3.0,5.541231518143017e-11,5.5424970882057623e-11,3.824602281545895e-10,0.14488386269286188,4.129190086746563e-05,0.00022833932839380578,9.76423e-06,3.941605847205763e-05,3.781812720397542,0.8305013148190701,807121.9100211676,367178.0150258438,5.520868522068152e-07,5.510862917580317e-07,0.0,7.657307455458436e-11,1.3551232924722774e-10,0.4117412308735452
evaporated,73700.0,inside_top,inside,top,b,-6.0,3.0,7.600995273024625e-11,7.601317094691946e-11,3.955841131294287e-10,0.1921461206541857,5.476164438644293e-05,4.233761903524e-05,9.91601e-06,5.2753033219905025e-05,4.676766070960524,1.1113424688662017,692976.6444896249,530686.285287549,6.565552378948981e-07,6.57250403703925e-07,1.2845258678846073e-16,9.725286643599829e-11,1.4837298316024647e-10,0.4109883834122975
evaporated,73700.0,inside_middle,inside,middle,a,-6.0,0.0,4.813846888732267e-11,4.814451647362327e-11,3.0098258001070387e-10,0.15993772425504066,4.5582251412686586e-05,0.00012561319011102158,9.67451e-06,4.3986233368906416e-05,3.1162434885455186,0.9268568313706382,508313.40249051276,336789.0576601436,3.1485026303215103e-07,3.156306806863306e-07,0.0,1.0770390625581714e-11,1.449433150043506e-10,0.4167914092988778
evaporated,73700.0,inside_middle,inside,middle,b,-6.0,0.0,6.858313267519491e-11,6.858494175670395e-11,3.1532442265870536e-10,0.2175002243623437,6.198756394326795e-05,2.637724058226521e-05,9.65807e-06,5.997757834716233e-05,4.342627513933385,1.2636283370498254,544513.8667839147,482805.23910259246,3.765293040281535e-07,3.7834204256790466e-07,0.0,1.8596499153207867e-13,1.440798102195875e-10,0.41618295110505305
evaporated,73700.0,inside_bottom,inside,bottom,a,-6.0,-3.0,6.381276704569965e-11,6.381705022820134e-11,3.8246042155794686e-10,0.16684802779267796,4.755168792091322e-05,6.711658540123534e-05,9.88156e-06,4.605912731197806e-05,3.017663952859716,0.9705663411835713,384372.36765651096,326811.6328477509,4.737705647065582e-08,4.831407504043677e-08,0.0,3.3297889585017873e-12,1.4662451359054062e-10,0.4244075160126134
evaporated,73700.0,inside_bottom,inside,bottom,b,-6.0,-3.0,9.088485232303889e-11,9.088591751920136e-11,3.9558407239020593e-10,0.2297485128101661,6.547832615089733e-05,1.1720145337653311e-05,9.61744e-06,6.347024036763701e-05,4.223890960701809,1.337248604002742,567023.583480092,466280.55332136917,3.174182728273588e-08,3.347408292368739e-08,2.1352569452343116e-16,4.3482799484140555e-11,1.4275984604247413e-10,0.4238321491100966
