run,contact_axis,interface_scenario,polarization,id,kind,target_waist_um,beam_x_um,beam_y_um,terminal_current_nA,Tmax_flake_K,Au_absorbed_W,TaIrTe4_absorbed_W,SiO2_absorbed_W,Si_absorbed_W,optical_closure,Maxwell_wall_s,passed
48,x,thermally_grown,Eb,position_x-5_y5,position,8.5,-5.0,5.0,6.668706568663731,0.19242317516647445,1.7881434305037602e-07,3.1558093314814885e-05,1.4014758076355223e-05,1.0444237315637744e-06,0.0018819398155025266,136.07201102748513,True
48,x,thermally_grown,Eb,position_x-5_y10,position,8.5,-5.0,10.0,0.8869265125396388,0.19948331311884435,1.384387134189866e-07,2.7784883488092343e-05,1.1312224529354034e-05,8.534553140421392e-07,0.0015530141829361568,135.70493187010288,True
48,x,thermally_grown,Eb,position_x0_y-10,position,8.5,0.0,-10.0,-6.733757920361648,0.20328850078254626,2.851191792304515e-08,2.442445352094109e-05,1.200211387750559e-05,9.595680601056668e-07,9.283988406147841e-05,161.32673479616642,True
48,x,thermally_grown,Eb,position_x0_y-5,position,8.5,0.0,-5.0,9.674742114548005,0.199945290512323,3.713236805618564e-08,3.587367283215279e-05,1.3505130216465423e-05,1.0648220756487867e-06,9.483328910310514e-05,158.96537408605218,True
48,x,thermally_grown,Eb,position_x0_y5,position,8.5,0.0,5.0,9.497284393271427,0.199687028777735,3.71432973429251e-08,3.587151434451263e-05,1.3501526783738812e-05,1.0647373978201453e-06,9.50569241809757e-05,209.0994293652475,True
48,x,thermally_grown,Eb,position_x0_y10,position,8.5,0.0,10.0,-6.9165388471578675,0.2033516803947315,2.8523637888787775e-08,2.442214751038608e-05,1.2000530439851399e-05,9.595422455041999e-07,8.976844769438391e-05,160.3343963548541,True
48,x,thermally_grown,Eb,position_x5_y-10,position,8.5,5.0,-10.0,-4.194198717084019,0.13852716159787612,1.4121188522962297e-07,1.4732427100820856e-05,1.3385623435478267e-05,1.0306463747486488e-06,0.0005361545053665053,136.74943555518985,True
48,x,thermally_grown,Eb,position_x5_y-5,position,8.5,5.0,-5.0,2.3893583855095115,0.1906649335658048,1.788207383286133e-07,2.9871823835805716e-05,1.4109096573271425e-05,1.066504675621172e-06,0.0004974206488549157,205.80651611834764,True
48,x,thermally_grown,Eb,position_x5_y0,position,8.5,5.0,0.0,7.505898392440276,0.18692817128956746,1.8334420411366656e-07,3.842934075983626e-05,1.3119600793707856e-05,9.79474971108788e-07,0.0004927519101656312,129.37016884237528,True
48,x,thermally_grown,Eb,position_x5_y5,position,8.5,5.0,5.0,2.4008526156151375,0.1899302832582076,1.7883929727262038e-07,2.9842268139649817e-05,1.4112861476681435e-05,1.0668595794944022e-06,0.0004961415789118366,132.7481854222715,True
48,x,thermally_grown,Eb,position_x5_y10,position,8.5,5.0,10.0,-4.196289803150853,0.1390754157213071,1.412470942665533e-07,1.4713861335872113e-05,1.3388098755979315e-05,1.030873270158303e-06,0.0005294690804839754,137.39733097702265,True
48,x,thermally_grown,Eb,position_x10_y-10,position,8.5,10.0,-10.0,-1.9255474019486583,0.20939520878313148,3.732952671044527e-07,9.134906216437334e-06,1.2572777832034965e-05,8.480518116853979e-07,0.00017388234212467179,135.25775376707315,True
48,x,thermally_grown,Eb,position_x10_y-5,position,8.5,10.0,-5.0,-6.835051040979049,0.21702964327559418,4.7278520695798125e-07,1.8966285867990898e-05,1.3566658902127472e-05,8.899933399151301e-07,0.0008304882161187574,159.09046127647161,True
48,x,thermally_grown,Eb,position_x10_y0,position,8.5,10.0,0.0,-11.298727924844997,0.21270389169654755,4.848803155731407e-07,2.457113481845495e-05,1.2908906380322348e-05,8.320901114526489e-07,0.0007772343607874603,153.71967010200024,True
48,x,thermally_grown,Eb,position_x10_y5,position,8.5,10.0,5.0,-6.773260771933418,0.21721197474894802,4.728026153073646e-07,1.8933587006087506e-05,1.3571984910233466e-05,8.904244889189235e-07,0.0008262983837934428,130.98943856731057,True
48,x,thermally_grown,Eb,position_x10_y10,position,8.5,10.0,10.0,-1.8932626295850723,0.2091104968789472,3.7333899057146075e-07,9.115586330375565e-06,1.257605460966085e-05,8.483168058945681e-07,0.00015674706501878614,133.32780328392982,True
55,y,evaporated,Ea,position_x-10_y-10,position,8.5,-10.0,-10.0,-12.40201091184733,0.7221324334527581,3.46130071916927e-07,7.824288083592231e-06,1.2265874714948226e-05,7.812329436727659e-07,0.013470224801133501,126.22876653820276,True
55,y,evaporated,Ea,waist_4.25,waist,4.25,0.0,0.0,1582.962289890025,6.314776924770094,1.2490632438831242e-08,5.080727794606238e-05,7.105334009069828e-06,3.7026692123096206e-07,0.0008315792602431917,152.4317536316812,True
