evaluation_index,tag,global_iteration,stage_iteration,role,beta,objective_A,objective_A_per_W,relative_fom_change,rho_mean,rho_rms_change,rho_max_change,gray_fraction_0p01_0p99,binarization_metric,solid_constraint,void_constraint,constraint_cap,constraints_feasible,solid_bad_cells,void_bad_cells,optical_closure,thermal_residual,thermal_energy_balance,constraint_contract
26,run003_b002_s026_g026_accepted_mma,26,26,accepted_mma,2.0,1.174617688721292e-19,8.497590376256499e-07,0.010555395763388306,0.41663738959509616,0.009902330095094461,0.026257161191793554,0.46249164444508334,0.15414911952399352,0.020835650561018902,0.008947002663312437,0.04,True,41,6,0.00017335884638724794,9.522991543983076e-11,8.313295688464654e-12,legacy_zhou_p8_v1
27,run003_b002_s027_g027_accepted_mma,27,27,accepted_mma,2.0,1.1825758625673172e-19,8.555162556665409e-07,0.006775118340579797,0.41490070017187214,0.008628185422194009,0.026257202570679816,0.3855774137670795,0.13935967466003035,0.019559313840236525,0.007057731029419467,0.04,True,39,4,0.00017823554441293572,8.408420574032552e-11,5.569722037425325e-12,legacy_zhou_p8_v1
28,run003_b002_s028_g028_accepted_mma,28,28,accepted_mma,2.0,1.188631849060669e-19,8.598973656258731e-07,0.005121013107949395,0.4135289474308939,0.007699637054347877,0.02625720394028913,0.32361333726254055,0.1288219841316107,0.01958838651454439,0.0055407762644718375,0.04,True,40,7,0.00018194851968585248,9.584992866481144e-11,1.0855749623933063e-11,legacy_zhou_p8_v1
29,run003_b002_s029_g029_accepted_mma,29,29,accepted_mma,2.0,1.193534721332808e-19,8.634442728992599e-07,0.004124803046471972,0.412536991589483,0.006960620006127636,0.026257204576628612,0.2793522558201381,0.12182673270397547,0.019816197864499778,0.00462469582417238,0.04,True,44,7,0.000184566073216038,9.953177688926577e-11,3.2334451111516566e-12,legacy_zhou_p8_v1
30,run003_b002_s030_g030_accepted_mma,30,30,accepted_mma,2.0,1.1982688449125298e-19,8.668691015356178e-07,0.003966473278997065,0.41190094238278685,0.006386491952648174,0.026257192595825596,0.2526863558280445,0.11725382013058237,0.020273978057129216,0.005560225048756879,0.04,True,40,6,0.00018641669572076167,9.038758842577262e-11,3.3941130057370356e-12,legacy_zhou_p8_v1
31,run003_b002_s031_g031_accepted_mma,31,31,accepted_mma,2.0,1.2021943668398588e-19,8.697089597866687e-07,0.003275994317965893,0.41174485945121275,0.005731109395003745,0.026257204453286165,0.239892473891137,0.11488143433748774,0.019082025451106925,0.007153381647265808,0.04,True,43,7,0.00018674120264794677,9.89541720228409e-11,2.1102868848562145e-12,legacy_zhou_p8_v1
32,run003_b002_s032_g032_accepted_mma,32,32,accepted_mma,2.0,1.2046036361890857e-19,8.714519085122313e-07,0.002004059755794731,0.41146880600621655,0.005679468058920436,0.026257179810354303,0.23324396782841822,0.11282999456381529,0.018972360081625426,0.007839720184918141,0.04,True,42,8,0.0001879429112155415,9.293603489952179e-11,4.072987331964984e-12,legacy_zhou_p8_v1
33,run003_b002_s033_g033_accepted_mma,33,33,accepted_mma,2.0,1.2062099525113392e-19,8.726139732633644e-07,0.001333481216556257,0.411853212396947,0.005590847513865259,0.026257204704444037,0.23221614472899252,0.11259078360173991,0.01745342784878319,0.009229008490463333,0.04,True,44,12,0.00018642250455715644,9.795703090426222e-11,6.419127859504523e-12,legacy_zhou_p8_v1
34,run003_b002_s034_g034_accepted_mma,34,34,accepted_mma,2.0,1.2072158562968238e-19,8.733416788316569e-07,0.0008339375606959794,0.4114858715643917,0.0053590585049108075,0.026256809202347853,0.22775984877344047,0.11067523090205467,0.016931740416201376,0.008766600243750198,0.04,True,42,14,0.0001879410908685639,9.960713415705531e-11,7.723697977211852e-12,legacy_zhou_p8_v1
35,run003_b002_s035_g035_accepted_mma,35,35,accepted_mma,2.0,1.207804714901274e-19,8.737676795004872e-07,0.0004877823641717661,0.4118603135858175,0.005126019757841578,0.026257169347376652,0.22695484047179237,0.11011515208918835,0.01651743139494261,0.009210242327962635,0.04,True,45,17,0.00018756909647386138,7.123412487322336e-11,1.1776761383683019e-11,legacy_zhou_p8_v1
36,run003_b002_s036_g036_accepted_mma,36,36,accepted_mma,2.0,1.2083213257956006e-19,8.741414136785141e-07,0.000427727171415336,0.4115561832222594,0.005044846811338777,0.02625718546117245,0.2242738753243393,0.10866864191284692,0.016052358801660414,0.008854183383713759,0.04,True,44,22,0.00018828596958813575,7.090300468830394e-11,1.1985510885196652e-11,legacy_zhou_p8_v1
37,run003_b002_s037_g037_accepted_mma,37,37,accepted_mma,2.0,1.2088120387176506e-19,8.744964123682116e-07,0.0004061112814729774,0.4120809849481519,0.0049126507433835875,0.026256027722007247,0.22346886702269117,0.10833486631951765,0.015723105031729235,0.008548115934349194,0.04,True,45,30,0.00018759380159407392,9.95110726320613e-11,8.342951469320646e-12,legacy_zhou_p8_v1
38,run003_b002_s038_g038_accepted_mma,38,38,accepted_mma,2.0,1.209291335093643e-19,8.748431519338691e-07,0.00039650198760500917,0.41165927366899774,0.004832889990609145,0.02625720171370899,0.21945101308857248,0.10671428189795001,0.01538827979544931,0.007983520216631158,0.04,True,46,55,0.00018868729196924852,9.985271612194733e-11,8.248247191585756e-12,legacy_zhou_p8_v1
39,run003_b002_s039_g039_accepted_mma,39,39,accepted_mma,2.0,1.20973262279182e-19,8.751623947081944e-07,0.000364914297631043,0.4123648723103721,0.004846034445281947,0.026257189669649905,0.2202703965384643,0.10691473850743226,0.014953640902559904,0.007737659847643621,0.04,True,44,71,0.00018733047594532326,7.065931327854086e-11,1.2024296047894928e-11,legacy_zhou_p8_v1
40,run003_b002_s040_g040_accepted_mma,40,40,accepted_mma,2.0,1.2101770004096073e-19,8.754838728371712e-07,0.00036733540074474657,0.4117937278575131,0.004676694726781081,0.026257190529133112,0.21593628934298384,0.10509635478609072,0.014826748889499763,0.007675560943639129,0.04,True,47,115,0.00018889730041037422,7.053734744398879e-11,1.1874703883601046e-11,legacy_zhou_p8_v1
41,run003_b002_s041_g041_accepted_mma,41,41,accepted_mma,2.0,1.210397246927407e-19,8.756432067811456e-07,0.0001819952930235246,0.4121066559772171,0.002313940077581729,0.01312939101954591,0.2151887816343106,0.10506840388573611,0.01450981702404924,0.007127759493926307,0.04,True,47,124,0.00018832335572460652,7.051704098116087e-11,1.1733911858995486e-11,legacy_zhou_p8_v1
42,run003_b002_s042_g042_accepted_mma,42,42,accepted_mma,2.0,1.2106093711750264e-19,8.757966647941185e-07,0.0001752517598315075,0.41210494436595424,0.0020244712165087644,0.01312976559212331,0.21346376384506466,0.10457135846342577,0.014103571599414078,0.006957375000543763,0.04,True,47,112,0.00018860230383265444,7.048954433888875e-11,1.1578023146308178e-11,legacy_zhou_p8_v1
