absolute_error,analytic,direction,family,finite_difference,minimum_Q_minus_W_m3,minimum_Q_plus_W_m3,relative_error,space,step
8.471082489765733e-32,4.957726454205926e-22,4,unrestricted,4.957726455053034e-22,-160.6962232588437,-168.685112281527,1.7086627445084681e-10,source_Q,0.0001
1.7248103841253877e-31,4.957726454205926e-22,4,unrestricted,4.957726455930736e-22,-48.20886697765311,-50.6055336844581,3.479034997306339e-10,source_Q,3e-05
1.9755828257659693e-31,4.957726454205926e-22,4,unrestricted,4.957726456181508e-22,-16.06962232588437,-16.868511228152702,3.984856453889198e-10,source_Q,1e-05
6.0937627146627384e-34,-2.298501685119248e-21,5,unrestricted,-2.2985016851186388e-21,-15892.985899821395,-19765.615388588707,2.651189143829838e-13,source_Q,0.01
2.682007910836131e-34,-2.298501685119248e-21,5,unrestricted,-2.2985016851195163e-21,-4767.895769946418,-5929.684616576612,1.1668505305868358e-13,source_Q,0.003
2.0237310743756502e-33,-2.298501685119248e-21,5,unrestricted,-2.298501685121272e-21,-1589.2985899821394,-1976.5615388588706,8.804566415928719e-13,source_Q,0.001
1.8073272663666703e-32,-2.298501685119248e-21,5,unrestricted,-2.2985016851373214e-21,-476.7895769946418,-592.9684616576611,7.86306696256742e-12,source_Q,0.0003
8.042262150585762e-33,-2.298501685119248e-21,5,unrestricted,-2.2985016851272904e-21,-158.92985899821394,-197.65615388588705,3.498915055251971e-12,source_Q,0.0001
2.1514480653947514e-31,-2.298501685119248e-21,5,unrestricted,-2.2985016849041033e-21,-47.678957699464185,-59.29684616576612,9.360219656672267e-11,source_Q,3e-05
1.3593604752005064e-31,-2.298501685119248e-21,5,unrestricted,-2.2985016852551842e-21,-15.892985899821396,-19.765615388588706,5.914115634550782e-11,source_Q,1e-05
2.114009040518802e-34,-4.0105234677187155e-21,6,unrestricted,-4.010523467718927e-21,-17381.18424601885,-20031.67457425278,5.2711548942046266e-14,source_Q,0.01
8.418420342848894e-34,-4.0105234677187155e-21,6,unrestricted,-4.010523467717874e-21,-5214.355271763155,-6009.502372275834,2.0990826785106682e-13,source_Q,0.003
3.0987911878636814e-33,-4.0105234677187155e-21,6,unrestricted,-4.010523467715617e-21,-1738.1184219758138,-2003.167457425278,7.726650181220234e-13,source_Q,0.001
1.0621955033126321e-32,-4.0105234677187155e-21,6,unrestricted,-4.0105234677080936e-21,-521.4355245502445,-600.9502372275833,2.6485208523585454e-12,source_Q,0.0003
