case,projection,method,region,cell_count,raw_max_abs_K_m,p99_abs_K_m,rms_abs_K_m,mean_abs_K_m,median_abs_K_m,raw_max_over_p99
Maxwell_b,midplane,least_squares_radius_0.4um,inside_n_0p3um,1130,3344.6435197279384,3327.0795990191054,2023.1529064413007,1858.6454198879235,1919.449859203612,1.0052790804025282
Maxwell_b,midplane,least_squares_radius_0.4um,inside_band_0p1_to_0p3um,1695,4689.115170272343,4631.6515592269325,2596.1479485225445,2342.7299502057917,2228.489403187726,1.0124067215140427
Maxwell_b,thickness_average,mask_aware_finite_difference,original_staircase_edge,282,9502.313182305754,9499.042193422065,6110.902293881509,5371.47370889872,5230.327712723557,1.0003443493372368
Maxwell_b,thickness_average,mask_aware_finite_difference,inside_n_0p1um,847,9589.807938388636,9570.533054046917,5508.058778277564,4682.470293944281,4982.956156708488,1.0020139823176901
Maxwell_b,thickness_average,mask_aware_finite_difference,inside_n_0p2um,1130,7444.3742650651175,7417.918075247182,3808.444865319334,3230.6090006288905,3009.7923987395307,1.0035665249399581
Maxwell_b,thickness_average,mask_aware_finite_difference,inside_n_0p3um,1130,4263.528780008716,4247.247098804318,2129.510076067255,1885.7788367965345,1772.029176833934,1.0038334669082432
Maxwell_b,thickness_average,mask_aware_finite_difference,inside_band_0p1_to_0p3um,1695,8570.632517230695,8505.79492948696,3943.003043048568,3272.591230480674,2735.415948895576,1.0076227546374252
Maxwell_b,thickness_average,least_squares_radius_0.2um,original_staircase_edge,282,9014.650400942235,9008.754775639041,5784.7444284076755,4970.071075262897,5303.265172287632,1.0006544328766875
Maxwell_b,thickness_average,least_squares_radius_0.2um,inside_n_0p1um,847,8123.251049608844,8069.241035651182,4846.716525924852,4162.124305736501,4394.195327631067,1.0066933201919532
Maxwell_b,thickness_average,least_squares_radius_0.2um,inside_n_0p2um,1130,7137.395178568627,7027.206574595785,3773.290940300407,3230.352231869997,3035.0408626980834,1.015680285303009
Maxwell_b,thickness_average,least_squares_radius_0.2um,inside_n_0p3um,1130,4454.793040716884,4438.421369551763,2231.283166088681,1964.1632914192776,1749.5119460992876,1.0036886248064307
Maxwell_b,thickness_average,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,1695,7578.88702887952,7466.852814821657,3780.2160921059035,3195.783050815072,2784.7425512574337,1.015004208176633
