center_um,current_A,objective_A2,node_signature,node_count
-1.7000000000000082,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.6750000000000083,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.6500000000000083,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.6250000000000084,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.6000000000000085,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.5750000000000086,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.5500000000000087,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.5250000000000088,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.5000000000000089,3.162007008482089e-11,9.998288321689848e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,13
-1.475000000000009,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.450000000000009,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.4250000000000091,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.4000000000000092,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.3750000000000093,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.3500000000000094,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.3250000000000095,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.3000000000000096,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.2750000000000097,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.2500000000000098,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.2250000000000099,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.20000000000001,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.17500000000001,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.1500000000000101,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.1250000000000102,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.1000000000000103,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.0750000000000104,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.0500000000000105,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.0250000000000106,5.207648762947161e-11,2.7119605638225097e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371,12
-1.0000000000000107,4.8811361063378043e-11,2.382548968859458e-21,832:881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,13
-0.9750000000000107,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.9500000000000108,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.9250000000000109,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.900000000000011,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.8750000000000111,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.8500000000000112,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.8250000000000113,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.8000000000000114,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.7750000000000115,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.7500000000000115,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.7250000000000116,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.7000000000000117,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.6750000000000118,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.6500000000000119,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.625000000000012,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.6000000000000121,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.5750000000000122,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.5500000000000123,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.5250000000000123,6.682996382902755e-11,4.466244065389131e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420,12
-0.5000000000000124,5.93506952428229e-11,3.522505025806441e-21,881:930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,13
-0.4750000000000125,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.4500000000000126,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.4250000000000127,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.4000000000000128,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.3750000000000129,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.35000000000001297,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.32500000000001306,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.30000000000001315,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.27500000000001323,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.2500000000000133,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.2250000000000134,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.2000000000000135,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
