length_um,current_A,objective_A2,node_signature,node_count
2.9749999999999965,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.9999999999999964,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.0249999999999964,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.0499999999999963,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.074999999999996,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.099999999999996,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.124999999999996,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.149999999999996,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.174999999999996,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.1999999999999957,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.2249999999999956,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.2499999999999956,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.2749999999999955,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.2999999999999954,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.3249999999999953,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.349999999999995,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.374999999999995,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.399999999999995,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.424999999999995,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.449999999999995,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.4749999999999948,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.4999999999999947,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.5249999999999946,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.5499999999999945,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.5749999999999944,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.5999999999999943,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.6249999999999942,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.649999999999994,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.674999999999994,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.699999999999994,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.724999999999994,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.749999999999994,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.7749999999999937,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.7999999999999936,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.8249999999999935,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.8499999999999934,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.8749999999999933,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.8999999999999932,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.924999999999993,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.949999999999993,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.974999999999993,1.1199175694528687e-10,1.254215362369221e-20,1077:1126:1175:1224:1273:1322:1371,7
3.999999999999993,1.0267871660588074e-10,1.054291884383077e-20,1028:1077:1126:1175:1224:1273:1322:1371:1420,9
