run,id,beam_x_um,beam_y_um,terminal_current_nA,temperature_max_K,temperature_gradient_max_K_m,local_J_total_max_A_m2,positive_contribution_nA,negative_contribution_nA,pte_reintegration_relative_error,total_J_reintegration_relative_error,local_J_constitutive_closure_relative_error,terminal_potential_max_abs_V,maximum_material_power_reintegration_relative_error,short_circuit_continuity_residual,reference_current_relative_error,field_path,field_size_bytes,field_sha256
45,position_x-10_y0,-10.0,0.0,-24.850070799260838,0.18844259730560045,442310.126814658,154795.63667907572,3.517740918364699,-28.367811717625532,3.1130610982205007e-16,1.6007993156139786e-10,1.8801454021001984e-16,0.0,2.378216524724393e-16,3.973717339663406e-11,3.3631703122597362e-12,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x-10_y0.npz,12903526,ace89e194b6442db89687ba414ce252fd96750fa23512968e19e3b40cba76ce0
45,position_x-5_y0,-5.0,0.0,17.31072340763681,0.19582155346912247,445359.7519728541,209762.35142295813,26.194031914455348,-8.883308506818546,2.829794742538764e-16,4.083065557293302e-10,1.3874668289758855e-16,0.0,1.5808639433639347e-16,9.24413059460888e-11,1.5287532056584227e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x-5_y0.npz,12931700,9d67b6a6f8cb354d8efc601e79d281598813e571cab04e465208b9548bef36f1
45,position_x0_y0,0.0,0.0,57.77098012803088,0.19421898910532573,490968.2212074888,152365.53158044344,59.681899733169814,-1.9109196051389519,3.223157328166848e-16,2.4301854184334796e-11,2.8651982657935934e-16,0.0,2.8256846827016254e-16,8.726672920924956e-11,1.6679068795733466e-12,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x0_y0.npz,12909056,32ac773e5f7a85cbd535b70173ff7ad062da0b513da003ed4ff8570999bbbcd3
45,position_x5_y0,5.0,0.0,17.30855773136251,0.19579706379633327,444466.8065719993,217339.57178562574,26.119296661869125,-8.81073893050662,1.89448558760376e-16,6.363197244400716e-10,1.3390948651284016e-16,0.0,1.3978476575272058e-16,8.97570452934693e-11,1.5118738021402003e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x5_y0.npz,12931896,e0cb86a90a27cd769a70544822a01b566d9200dc15a23cad6b4f73212e83353f
45,position_x10_y0,10.0,0.0,-24.902751549153244,0.18850042651720658,439641.6511824708,137329.83229023157,3.435208506147565,-28.337960055300798,2.0827148188340986e-16,5.275893607488981e-10,3.1788974731170513e-16,0.0,1.527363387518526e-16,3.031870333220753e-11,3.2253157776603605e-12,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x10_y0.npz,12903143,4d596e1103e74c9eb7f3860da0442c02253b6c3c8d29c1f935f6447b6477f104
45,position_x-10_y5,-10.0,5.0,-13.655630057550296,0.195057026504989,339470.1589509237,253669.84048450837,5.074684491849118,-18.73031454939941,6.949637856483136e-17,2.0980641870127687e-09,1.1473114186986322e-16,0.0,1.623880589397066e-16,4.057920012637715e-11,8.942345727954451e-12,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x-10_y5.npz,12924290,47abca56bf31615fdaf3594f4611c1aef9d8be476ce16cc595998d07c8b1205e
45,position_x-5_y5,-5.0,5.0,13.021514107163364,0.19688431731328299,589066.5429767,276588.67571170523,21.30889503375439,-8.287380926591032,1.1179522905669969e-16,3.3813814160708953e-10,2.1044846020427314e-16,0.0,1.9148175765132602e-16,2.9284961981894906e-11,9.534339641115136e-12,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x-5_y5.npz,12953143,88f198e3f95d1cd84f82a5d5e7f981f12f03d7eaec2763a35db171439cacb6a8
45,position_x0_y5,0.0,5.0,35.74267723766618,0.19769146542388227,602807.7772970424,238836.5770306909,39.381777109867826,-3.6390998722016548,3.0763877283032996e-16,1.403697269057958e-10,2.1324917620444367e-16,0.0,1.824386738227537e-16,3.394200357759907e-11,2.732129821892148e-12,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x0_y5.npz,12954889,1252ca5eea2bb5ad2e2c976b37b82e5ba7b892dc5a5e19926108388773fe129b
45,position_x5_y5,5.0,5.0,13.104287797872436,0.1963201837349361,585552.9664159637,260461.35274734464,21.310093422913795,-8.205805625041366,2.2419933371071324e-16,1.4267922287716248e-10,2.234790701172876e-16,0.0,0.0,5.915798341275384e-11,9.220361605332853e-12,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x5_y5.npz,12953535,86ba75d3180bc8ee018e2d646ef5ba7caed0d5169c0e1886d3c472806ac29a2c
45,position_x10_y5,10.0,5.0,-13.670045578867727,0.19512339339480977,339245.8783292234,253619.37070770466,5.059852721657223,-18.729898300524944,0.0,8.200285017852813e-10,2.295079463017496e-16,0.0,1.5837424439506209e-16,9.699532092656613e-11,8.9095586908285e-12,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x10_y5.npz,12923691,dd16d1f0edd3a630fb8d06e84978c4099f2b05270fb818de77ffdf3d7e8176e4
